Entity,Code,Year,Oil (terrawatt-hours),Coal (terrawatt-hours),Gas (terrawatt-hours),Hydropower (terrawatt-hours),Nuclear (terrawatt-hours),Solar (terrawatt-hours),Wind (terrawatt-hours),Other renewables (terawatt-hours)
Sweden,SWE,1978,389.06160048137923,17.646047810000002,0,152.05062,62.59266,0,0,0.7263157894736809
Sweden,SWE,1979,418.84644465821526,20.84662381,0,161.13365000000002,55.370430000000006,0,0,0.9131578947368383
Sweden,SWE,1980,369.62616776690965,19.86897112,0,155.93504000000001,69.72185,0,0,1.8973684210526278
Sweden,SWE,1981,332.457787556335,17.085284100000003,0,158.47038,99.16901,0,0,2.42368421052631
Sweden,SWE,1982,309.06798549441055,19.00960716,0,146.35192,102.77431,0,0,2.6368421052631503
Sweden,SWE,1983,268.6585919301151,23.82295015,0,168.63500000000002,107.9264,0,0.007894736842105232,3.8078947368420923
Sweden,SWE,1984,256.70613005371865,28.746894440000002,0,180.23011000000002,134.03575,0,0.013157894736842054,4.863157894736827
Sweden,SWE,1985,275.22202020963283,33.84138105,1.025,186.81052631578834,154.1078947368415,0,0.015789473684210464,4.742105263157879
Sweden,SWE,1986,293.9449653314103,36.07909772,2.2754999999999987,160.34999999999965,184.0815789473675,0,0.015789473684210464,5.210526315789451
Sweden,SWE,1987,253.78844216883982,35.62356225,3.259499999999997,189.08947368420982,177.32894736841988,0,0.015789473684210464,5.15526315789471
Sweden,SWE,1988,237.56391053921976,34.97160771,4.653500000000002,183.90263157894617,182.69473684210485,0,0.013157894736842054,5.37105263157892
Sweden,SWE,1989,228.2193799932158,32.972841020000004,7.30825,188.81578947368396,172.63947368421017,0,0.013157894736842054,5.760526315789448
Sweden,SWE,1990,227.74012689196516,34.45711977,6.709999999999987,190.81315789473618,179.43421052631564,0,0.015789473684210464,5.113157894736819
Sweden,SWE,1991,196.22267312483854,33.63650697,7.168749999999987,166.44473684210428,202.0026315789466,0,0.034210526315789344,4.89473684210524
Sweden,SWE,1992,206.6894642611952,31.320869300000002,8.09149999999999,195.69473684210507,167.22105263157852,0,0.08157894736842074,5.289473684210507
Sweden,SWE,1993,203.13209111232237,31.889390220000003,8.830749999999982,196.43947368421036,161.56578947368322,0.002631578947368411,0.1368421052631576,5.713157894736818
Sweden,SWE,1994,215.15241841735107,32.364464090000006,8.76674999999999,155.51842105263086,192.51578947368367,0.002631578947368411,0.1973684210526314,5.86578947368419
Sweden,SWE,1995,204.58391828488502,32.364184970000004,8.775499999999981,179.19999999999982,184.03947368420967,0.002631578947368411,0.27631578947368257,6.194736842105239
Sweden,SWE,1996,218.7903668534131,35.842369070000004,9.403249999999984,136.15789473684126,195.45789473684144,0.002631578947368411,0.37894736842105164,5.573684210526294
Sweden,SWE,1997,205.33779629804218,30.625976800000004,9.288749999999988,181.7263157894726,184.02105263157856,0.002631578947368411,0.5342105263157877,7.297368421052603
Sweden,SWE,1998,231.65984531467262,30.833339700000003,9.20649999999999,196.6921052631573,193.63947368420938,0.002631578947368411,0.8105263157894703,7.31578947368418
Sweden,SWE,1999,222.6026085556542,29.473199570000002,9.226249999999984,188.66052631578822,192.59999999999934,0.002631578947368411,0.9421052631578908,7.0973684210526
Sweden,SWE,2000,192.10744531970812,29.83793963,9.022999999999984,206.79999999999865,150.8315789473678,0.002631578947368411,1.202631578947367,10.784210526315746
Sweden,SWE,2001,195.41195105869443,32.333935340000004,10.179999999999987,208.0552631578934,189.76052631578833,0.005263157894736822,1.2684210526315742,9.939473684210492
Sweden,SWE,2002,198.4418221347903,34.722400070000006,10.359749999999984,174.62631578947355,179.23947368420983,0.005263157894736822,1.5999999999999923,10.986842105263118
Sweden,SWE,2003,212.62779133147862,34.04327785,10.33049999999998,140.89473684210438,177.40789473684106,0.005263157894736822,1.7868421052631476,11.868421052631488
Sweden,SWE,2004,203.59160115564936,35.0247917,10.285499999999985,159.44210526315752,204.3973684210515,0.005263157894736822,2.2368421052631553,18.949999999999918
Sweden,SWE,2005,205.2083341234539,32.01512215,9.799749999999987,191.29473684210453,191.2921052631567,0.005263157894736822,2.4973684210526264,19.713157894736778
Sweden,SWE,2006,206.6338946483476,35.349850200000006,9.650249999999986,162.20526315789397,176.25526315789423,0.005263157894736822,2.5973684210526167,21.997368421052574
Sweden,SWE,2007,202.99704320660317,32.93782309,10.293249999999988,174.11315789473628,176.23421052631534,0.007894736842105232,3.763157894736831,25.884210526315734
Sweden,SWE,2008,192.53402689007086,32.94724339,9.286249999999987,181.571052631578,168.12894736842065,0.010526315789473644,5.252631578947355,27.20263157894722
Sweden,SWE,2009,185.18977019232054,23.22745926,11.432249999999982,172.1421052631574,137.29736842105257,0.018421052631578876,6.539473684210505,30.157894736841993
Sweden,SWE,2010,186.8580038284596,32.03072961,15.462499999999931,174.7315789473681,151.91578947368347,0.0236842105263157,9.215789473684177,32.08421052631572
Sweden,SWE,2011,174.79460982514354,28.601310100000003,12.536749999999959,176.48421052631562,159.14473684210498,0.034210526315789344,15.994736842105254,30.357894736842
Sweden,SWE,2012,173.4921153616601,24.528612030000005,10.923999999999982,207.73421052631528,168.51842105263108,0.04999999999999981,18.8552631578947,32.0894736842104
Sweden,SWE,2013,170.79203831372683,25.037482680000004,10.824749999999987,161.47631578947315,174.8868421052627,0.09210526315789438,25.89999999999986,30.131578947368297
Sweden,SWE,2014,169.74605204135725,23.485412659999998,9.224499999999988,167.7973684210525,170.72894736842022,0.12368421052631497,29.56315789473677,28.14736842105251
Sweden,SWE,2015,169.11844049021013,23.46832819,8.911749999999985,198.1894736842101,148.28421052631492,0.2552631578947355,42.810526315789375,28.328947368420934
Sweden,SWE,2016,177.82468898972232,23.02859789,9.829249999999988,163.20526315789397,166.05526315789382,0.3763157894736831,40.73421052631558,30.23178421052623
